composer,filename,tempo,num_notes,num_chords,avg_pitch,pitch_range,avg_duration,avg_velocity,note_density,pitch_class_0,pitch_class_1,pitch_class_2,pitch_class_3,pitch_class_4,pitch_class_5,pitch_class_6,pitch_class_7,pitch_class_8,pitch_class_9,pitch_class_10,pitch_class_11,pitch_entropy,pitch_class_variance,range_normalized,notes_per_chord,chord_density,velocity_variation,tempo_note_ratio,chromatic_ratio,relative_path,total_duration,num_midi_tracks,num_note_tracks,num_unique_programs,drum_track_count,has_drums,pitch_std,pitch_median,velocity_std,velocity_range,duration_std,duration_median,onset_interval_mean,onset_interval_std,max_polyphony,avg_polyphony,gm_piano_track_count,gm_chromatic_percussion_track_count,gm_organ_track_count,gm_guitar_track_count,gm_bass_track_count,gm_strings_track_count,gm_ensemble_track_count,gm_brass_track_count,gm_reed_track_count,gm_pipe_track_count,gm_synth_lead_track_count,gm_synth_pad_track_count,gm_synth_effects_track_count,gm_ethnic_track_count,gm_percussive_track_count,gm_sound_effects_track_count
Bach,AveMaria.mid,240.0,793,641,59.82093316519546,45.0,0.2951345102984447,33.85750315258512,9.670731707317072,0.1715006305170239,0.0063051702395964,0.0907944514501891,0.0151324085750315,0.081967213114754,0.2282471626733921,0.0050441361916771,0.1412358133669609,0.0163934426229508,0.116015132408575,0.1046658259773013,0.0226986128625472,2.100379798577638,0.0048815264961152,0.7522450230505017,1.235202492211838,0.8073047858942065,0.1404875649484859,0.3022670025188917,0.1475408360657211,Bach\AveMaria.mid,82.0,4,3,1,0,0,7.176971413850724,60.0,8.282899768214795,32.0,0.4814767221768819,0.125,0.101010101010101,0.0492262340646917,5,2.8541666666666665,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,01 Menuet.mid,196.9851911496,524,368,65.11832061068702,44.0,0.4088480903307889,100.0,4.743052362586397,0.1564885496183206,0.0458015267175572,0.1297709923664122,0.0076335877862595,0.1183206106870229,0.1412213740458015,0.0038167938931297,0.1717557251908397,0.0,0.148854961832061,0.0687022900763358,0.0076335877862595,2.0912179564479696,0.0042121509365551,0.6756930908486262,1.4200542005420054,0.700952380952381,0.5050882817010227,0.375209887904,0.1259540725192097,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\01 Menuet.mid,110.47738037500004,6,4,1,0,0,11.966449928746988,70.0,0.0,0.0,0.2509738958048205,0.285714500000001,0.2083817024378585,0.1856509795588144,2,1.939187900782385,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,02 Menuet.mid,193.48856558158835,428,330,66.1822429906542,40.0,0.3894380430101245,100.0,4.790367046429356,0.116822429906542,0.0233644859813084,0.1542056074766355,0.0,0.0654205607476635,0.0,0.0887850467289719,0.2242990654205607,0.0,0.1401869158878504,0.0,0.1869158878504672,1.9444632754870024,0.0059751700779301,0.6043917157848037,1.2930513595166162,0.7692307692307693,0.5141690448534354,0.4510222973929798,0.1121494205608598,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\02 Menuet.mid,89.345972,6,4,1,0,0,8.40335172432035,67.0,0.0,0.0,0.3310421528791048,0.2307690000000022,0.2078607718969555,0.1814307943583965,4,1.865551167861638,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,03 Menuet.mid,178.82352941176472,418,304,66.03349282296651,39.0,0.497687797288676,100.0,4.194926897521648,0.124401913875598,0.0,0.1961722488038277,0.0765550239234449,0.0239234449760765,0.0909090909090909,0.0239234449760765,0.1626794258373205,0.0,0.138755980861244,0.1483253588516746,0.0143540669856459,2.0855668770793345,0.0044850100094371,0.5906093671880764,1.3704918032786886,0.7255369928400954,0.556100752371606,0.4267864663765268,0.2488035789476172,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\03 Menuet.mid,99.644167875,4,2,1,0,0,10.035526737102384,69.0,0.0,0.0,0.4592965323153922,0.25,0.229077740707434,0.2010597096518742,4,2.087763927414572,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,04 Menuet.mid,206.15384615384608,622,424,62.02572347266881,43.0,0.2955528994506968,100.0,5.153646639795161,0.0771704180064308,0.0,0.202572347266881,0.0160771704180064,0.0996784565916398,0.0,0.0996784565916398,0.270096463022508,0.0,0.0771704180064308,0.0,0.157556270096463,1.889611967335686,0.0072932426486721,0.6932607456918564,1.463529411764706,0.680577849117175,0.4827330115113258,0.3309050500061735,0.115755511254135,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\04 Menuet.mid,120.69123932500004,4,2,1,0,0,11.736358190523402,66.0,0.0,0.0,0.2112934805443377,0.2458333333333335,0.193285230085883,0.1590986105522332,2,1.5231752071357991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,05 Polonaise.mid,230.2946840301645,1034,626,64.03868471953578,46.0,0.3104449260154737,100.0,6.283257774787853,0.195357833655706,0.0,0.0851063829787234,0.0019342359767891,0.081237911025145,0.1856866537717601,0.0,0.1508704061895551,0.0,0.1586073500967117,0.1276595744680851,0.0135396518375241,1.9557722405983973,0.0056296482666909,0.7183158036918791,1.649122807017544,0.6048309178743961,0.4323488904178982,0.2225069410919463,0.1295936808511933,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\05 Polonaise.mid,164.56431314166667,1,2,1,0,0,12.091785205250764,69.0,0.0,0.0,0.2247655403608129,0.2142857500000019,0.1584843301064859,0.1571000640866637,5,1.9506054950301643,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,06 Menuet.mid,200.86463722823828,440,284,58.51590909090909,40.0,0.3732650752272729,92.1590909090909,5.185805928628428,0.1818181818181818,0.0,0.1295454545454545,0.0977272727272727,0.034090909090909,0.1590909090909091,0.0,0.0931818181818181,0.0,0.1204545454545454,0.184090909090909,0.0,1.997239758610542,0.0049675734618916,0.6835747737300307,1.543859649122807,0.6439909297052154,0.4565390559461448,0.4554753678644859,0.2818179000002818,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\06 Menuet.mid,84.84698541666671,4,2,2,0,0,11.501569916197964,57.0,7.49224805994406,15.0,0.2440689732921714,0.2809525916666686,0.1842430487851178,0.1543477104066667,2,1.9356802400635296,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,08 Polonaise.mid,179.66101694915258,296,292,63.479729729729726,36.0,0.3020945945945943,100.0,4.983584476807812,0.1283783783783783,0.0,0.1959459459459459,0.1081081081081081,0.0067567567567567,0.0675675675675675,0.054054054054054,0.1689189189189189,0.0,0.1081081081081081,0.1621621621621621,0.0,2.032851937633276,0.0047733544355165,0.5671101560476527,1.0102389078498293,0.9831649831649832,0.5535228445445163,0.6049192489870457,0.3243240000003244,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\08 Polonaise.mid,59.395,4,2,1,0,0,10.664078117170568,69.0,0.0,0.0,0.2403551802509868,0.1450000000000031,0.1932203389830508,0.1725819940523099,2,1.5055139321491686,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,09 Menuet.mid,152.90920304250662,392,286,65.29591836734694,45.0,0.3748787715348639,100.0,4.458479590759661,0.1683673469387755,0.0204081632653061,0.1224489795918367,0.0051020408163265,0.1632653061224489,0.0663265306122449,0.0561224489795918,0.1020408163265306,0.0459183673469387,0.1275510204081632,0.0051020408163265,0.1173469387755102,2.216349929879399,0.0031034522652598,0.6891701722865015,1.3658536585365857,0.727735368956743,0.6497337262696501,0.3890819415839863,0.132652928571561,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\09 Menuet.mid,87.92234931666667,4,2,1,0,0,11.585713566737224,69.0,0.0,0.0,0.2508330346857199,0.3232756250000008,0.2195959232736573,0.2197581226611975,2,1.671389351897245,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach,10 Menuet.mid,162.3529411764706,458,262,62.0,39.0,0.3693080924308584,100.0,6.171489370878272,0.1572052401746725,0.0,0.1179039301310043,0.1266375545851528,0.056768558951965,0.131004366812227,0.0305676855895196,0.1703056768558952,0.074235807860262,0.0305676855895196,0.0655021834061135,0.0393013100436681,2.24722345787382,0.0028268540942307,0.6290322479188347,1.741444866920152,0.5708061002178649,0.6121714079942383,0.3537101114955787,0.2969429344981136,Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\10 Menuet.mid,74.21223184166668,5,3,1,0,0,10.30410949520059,63.0,0.0,0.0,0.3032530337451452,0.24583333333333,0.1547435150984683,0.2075541880737422,5,2.279180967016373,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
