source,composer,path,status,duplicate_of,recommended_split,total_duration,estimated_tempo,num_notes,notes_per_second
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var10_8bars_Score_8.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var10_8bars_Score2_8.mid,,15.994452441666667,179.99991000004508,255,15.943027804797318
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var12_8bars_Score_9.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var12_8bars_Score2_9.mid,,22.140386460416668,82.10525631579002,66,2.9809777764266685
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var17_8bars_Score_11.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var17_8bars_Score2_11.mid,,14.39875,199.99999999999997,172,11.945481378591891
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var25_8bars_Score_14.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var25_8bars_Score2_14.mid,,13.082965447916665,219.99981666681967,131,10.013020405924902
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var27_8bars_Score_15.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var27_8bars_Score2_15.mid,,13.076147260416665,219.99981666681956,224,17.130428064088836
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var28_8bars_Score_16.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var28_8bars_Score2_16.mid,,13.062510885416666,219.99981666681956,117,8.95693033493445
BigSynthPiano,Beethoven,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var6_8bars_Score_5.mid,duplicate_of_candidate,..\data\new_midi_files\BigSynthPiano\midi\Beethoven_WoO80_var6_8bars_Score2_5.mid,,11.736458333333333,180.0,158,13.462323599893494
commons.wikimedia.org,Beethoven,..\data\new_midi_files\commons.wikimedia.org\Beethoven\Beethoven_-_Moonlight_Sonata_1st_Movement.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Piano Sonatas\Piano Sonata n14 op27 1mov ''Moonlight''.mid,,361.9839022166672,141.04527229234452,1144,3.1603615326386896
commons.wikimedia.org,Beethoven,..\data\new_midi_files\commons.wikimedia.org\Beethoven\Beethoven_Op._33_no._4.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Op33 No.4.mid | ..\data\midiclassics\Beethoven\Sonatina op33 4mov.mid,,172.0,220.12279163012158,1060,6.162790697674419
commons.wikimedia.org,Beethoven,..\data\new_midi_files\commons.wikimedia.org\Beethoven\Beethoven_Waldstein_1st_movement.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Piano Sonatas\Piano Sonata n21 1mov ''Waldstein''.mid,,621.5064377249968,173.2845684598635,8573,13.793903778987673
commons.wikimedia.org,Beethoven,..\data\new_midi_files\commons.wikimedia.org\Beethoven\Beethoven_Waldstein_2nd_movement.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Piano Sonatas\Piano Sonata n21 2mov ''Waldstein''.mid,,246.082407125,101.80588971335705,493,2.003393927098477
commons.wikimedia.org,Beethoven,..\data\new_midi_files\commons.wikimedia.org\Beethoven\Beethoven_Waldstein_3rd_movement.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Piano Sonatas\Piano Sonata n21 3mov ''Waldstein''.mid,,579.5972556666671,179.26616898797138,7359,12.69674748810792
midi-classical-music,Beethoven,..\data\new_midi_files\midi-classical-music\data\beethoven-137.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Sonata for Piano & Cello n2 op05.MID,,548.1284717499999,186.1884447255736,7280,13.281557837631158
midi-classical-music,Beethoven,..\data\new_midi_files\midi-classical-music\data\beethoven-32_variations_on_a_theme.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\32 Variations on a theme.mid,,618.9428055749989,195.84794803796157,7318,11.823386481084574
midi-classical-music,Beethoven,..\data\new_midi_files\midi-classical-music\data\beethoven-andante_in_f_major.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Andante in F Major.mid,,250.5,161.1172363101802,4323,17.25748502994012
midi-classical-music,Beethoven,..\data\new_midi_files\midi-classical-music\data\beethoven-anh06_rondo.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Anh06 Rondo.mid,,336.8752695,281.7091763420629,4438,13.174015434813626
midi-classical-music,Beethoven,..\data\new_midi_files\midi-classical-music\data\beethoven-anh08nb1_gavotte_4_hands.mid,duplicate_of_midiclassics,..\data\midiclassics\Beethoven\Anh08Nb1 Gavotte 4 hands.mid,,167.17611335833334,188.6304200169305,1571,9.397275534409887
